,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
24,-0.9439,2018-06-09 23:39:06,0.466,0.534,0.0,nytimes,"RT @paulkrugman: Really, really bad. Trump is throwing a temper tantrum, threatening dire retaliation against our allies for high  tariffs…",25
25,0.0,2018-06-09 23:39:06,1.0,0.0,0.0,nytimes,RT @nytimes: Anthony Bourdain understood that eating was simply a way of taking the world inside you https://t.co/MFUCcrSnln,26
26,-0.5207,2018-06-09 23:39:06,0.733,0.267,0.0,CNN,"RT @jaketapper: Trump criticizes Justin Trudeau, says US won't endorse G7 communique @CNNPolitics https://t.co/YGLlVV0KbA",27
27,-0.5423,2018-06-09 23:39:06,0.8,0.2,0.0,CNN,@CNN Too bad that we are the ones who are being penalized for a buffoon’s decision,28
28,-0.4767,2018-06-09 23:39:06,0.807,0.193,0.0,CNN,RT @Katt4Trump_45: Trump Dismisses 'Fake News CNN' Reporter's Question During G7 Summit Briefing https://t.co/aJ3w5zvCDt,29
29,-0.8555,2018-06-09 23:39:06,0.539,0.461,0.0,FoxNews,"RT @2peterswift: recycleamericaradioshow 1,000 illegal immigrants bused to California federal prison for detention https://t.co/jDj2fp3RbI…",30
30,0.0,2018-06-09 23:39:06,1.0,0.0,0.0,FoxNews,"RT @Jessicarisent: https://t.co/i0tiu16VMh Anthony Bourdain, CNN host and celebrity chef, hanged himself with bathrobe belt, prosecutors sa…",31
31,-0.6808,2018-06-09 23:39:05,0.789,0.211,0.0,CNN,This guy is a menace.  He needs to just resign and let his betters who actually know how to govern take the reins.  https://t.co/Qlx7cfCWk8,32
32,0.0,2018-06-09 23:39:05,1.0,0.0,0.0,CNN,@CNN @ChrJMHoffmann Lets compare tariff schedules Trudy.,33
33,0.296,2018-06-09 23:39:05,0.804,0.0,0.196,CNN,"Duke and Duchess of Sussex join Queen's birthday parade

https://t.co/kqzbQ3sTSx",34
34,-0.296,2018-06-09 23:39:05,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,35
35,-0.296,2018-06-09 23:39:05,0.927,0.073,0.0,CNN,RT @emilia_suze: It appears to me that the pundits in the MSM in Canada and the US are no different when it comes to trade and Canada and T…,36
36,-0.296,2018-06-09 23:39:05,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,37
37,0.0,2018-06-09 23:39:05,1.0,0.0,0.0,CBSNews,@CBSNews Just another one of nature's little IQ tests.,38
38,0.8176,2018-06-09 23:39:05,0.717,0.0,0.283,CBSNews,"RT @CBSNews: Justify wins the 150th Belmont Stakes, becoming the 13th horse in history to win the Triple Crown https://t.co/0NO3ihaHKB http…",39
39,0.0,2018-06-09 23:39:05,1.0,0.0,0.0,BBCWorld,"RT @negesti: @Laurestar have you heard about the oil spill in Akoka? Read the story via @totaldoright #TotalMustdoright @jimidisu, @TOTALNi…",40
40,-0.5413,2018-06-09 23:39:05,0.857,0.143,0.0,FoxNews,RT @FoxNews: .@replouiegohmert: “Robert Mueller has done more damage during his 12 years as FBI director than… probably all the directors p…,41
41,-0.5994,2018-06-09 23:39:05,0.803,0.197,0.0,FoxNews,"RT @RealJamesWoods: Its ALWAYS some snake oil, slime ball, back door, stealth shit with the Clintons. Can these people even breathe without…",42
42,0.8248,2018-06-09 23:39:05,0.618,0.0,0.382,FoxNews,"Okay yes, but what about those beautiful and giant creatures that don’t belong in fiberglass tanks...? https://t.co/HhoAmjF69q",43
43,-0.7814,2018-06-09 23:39:04,0.754,0.246,0.0,FoxNews,"RT @RodStryker: It's so refreshing to hear @POTUS Trump blatantly blast fake news CNN everytime.

He calls out this moron &amp; reinforces our…",44
44,-0.5994,2018-06-09 23:39:04,0.803,0.197,0.0,FoxNews,"RT @RealJamesWoods: Its ALWAYS some snake oil, slime ball, back door, stealth shit with the Clintons. Can these people even breathe without…",45
45,-0.0516,2018-06-09 23:39:04,0.811,0.099,0.09,CNN,"RT @CNNPolitics: Canadian Prime Minister Justin Trudeau says he will with ""absolute certainty"" impose retaliatory measures on July 1 to ans…",46
46,-0.7814,2018-06-09 23:39:04,0.754,0.246,0.0,CNN,"RT @RodStryker: It's so refreshing to hear @POTUS Trump blatantly blast fake news CNN everytime.

He calls out this moron &amp; reinforces our…",47
47,0.0,2018-06-09 23:39:04,1.0,0.0,0.0,CNN,@CNN https://t.co/LvLVHR4FDr,48
48,0.5859,2018-06-09 23:39:04,0.847,0.0,0.153,CNN,"RT @cnnbrk: Justify becomes the 13th thoroughbred to win the Triple Crown, finishing first at the Belmont Stakes. It's trainer Bob Baffert'…",49
49,-0.5267,2018-06-09 23:39:03,0.72,0.191,0.089,CBSNews,"RT @CBSSunday: PREVIEW FOR SUNDAY MORNING

Suicide rates have increased more than 25% since 1999 

@mikeshinoda, co-founder of @linkinpark,…",50
50,0.4019,2018-06-09 23:39:03,0.881,0.0,0.119,CNN,"Hilarious at best...
Donald Trump held a press conference at the G7 -- here are the 38 wildest things he said

https://t.co/kAnXgqVNmB",51
51,-0.8172,2018-06-09 23:39:03,0.746,0.254,0.0,CNN,"RT @RealJack: RETWEET if you think Fake News CNN is the worst!

After a question, President Trump asked a reporter, “Who are you with out o…",52
52,0.0,2018-06-09 23:39:03,1.0,0.0,0.0,FoxNews,RT @FoxNews: Kim Jong Un and Donald Trump impersonators arrive in Singapore https://t.co/gQUxSLndMo,53
53,-0.4019,2018-06-09 23:39:03,0.87,0.13,0.0,FoxNews,RT @heyitsmeCarolyn: 'Bring on the Recession': Bill Maher 'Hoping' for Economic Crash to Oust Trump 🤔 #LiberalismIsAMentalDisorder https://…,54
54,-0.8172,2018-06-09 23:39:03,0.746,0.254,0.0,FoxNews,"RT @RealJack: RETWEET if you think Fake News CNN is the worst!

After a question, President Trump asked a reporter, “Who are you with out o…",55
55,-0.296,2018-06-09 23:39:02,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,56
56,-0.128,2018-06-09 23:39:02,0.621,0.207,0.172,CNN,@donmckelvey @CNN I'd  rather have a lightweight than a lard-ass coward like tRump.,57
57,0.0,2018-06-09 23:39:02,1.0,0.0,0.0,CNN,@CNN Didn’t I just see an interview where Putin said that he and Donald speak frequently?,58
58,-0.2023,2018-06-09 23:39:02,0.924,0.076,0.0,nytimes,"RT @JustinWolfers: Average tariff rates charged by G-7 nations:
USA: 1.6%
EU: 1.6%
UK: 1.6%
Italy: 1.6%
Germany: 1.6%
France: 1.6%
Japan: 1…",59
59,-0.5991,2018-06-09 23:39:02,0.741,0.259,0.0,CNN,"@SD_IPA_HEAVEN @CNN I don’t need your money nor your permission.... and stop begging, it’s not a good look!",60
60,0.0,2018-06-09 23:39:02,1.0,0.0,0.0,CBSNews,https://t.co/m5aUaxBbBW https://t.co/m5aUaxBbBW,61
61,0.0,2018-06-09 23:39:02,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",62
62,0.0,2018-06-09 23:39:02,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",63
63,0.0,2018-06-09 23:39:02,1.0,0.0,0.0,CNN,RT @DailyCaller: Sarah Sanders To CNN Producer: ‘Congratulations! Once Again You Are Wrong’ https://t.co/tCCtbGZuaK https://t.co/LhGXeYc7CH,64
64,0.0,2018-06-09 23:39:02,1.0,0.0,0.0,CNN,RT @Downtown0911: @S246278910 @TammyRedmond @lindabuffalo67 @IamMesmerized @wellnessFR @ROYALMRBADNEWS @passion_4truth https://t.co/DeLztSe…,65
65,0.0,2018-06-09 23:39:02,1.0,0.0,0.0,FoxNews,@MatthewJshow @FoxNews @replouiegohmert  https://t.co/6CAfxZgrKA,66
66,0.1027,2018-06-09 23:39:02,0.763,0.111,0.126,FoxNews,"RT @FoxBusiness: .@NancyPelosi: ""Hip hip hooray, unemployment is down. What does that mean to me and my life? I need a bigger paycheck."" ht…",67
67,0.0,2018-06-09 23:39:01,1.0,0.0,0.0,nytimes,Get people taking to twitter about you https://t.co/vdQ0IDH0Tj #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/quLHR1Dy7U,68
68,-0.296,2018-06-09 23:39:01,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,69
69,0.0,2018-06-09 23:39:01,1.0,0.0,0.0,CNN,Get people taking to twitter about you https://t.co/vdQ0IDH0Tj #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/quLHR1Dy7U,70
70,-0.296,2018-06-09 23:39:01,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,71
71,-0.5859,2018-06-09 23:39:01,0.833,0.167,0.0,CBSNews,"RT @Russian_Starr: So, Donald Trump said Barack Obama ""let Russia"" take Crimea. This is complete bullshit and here's why. https://t.co/RKFu…",72
72,0.5719,2018-06-09 23:39:01,0.829,0.0,0.171,FoxNews,RT @DavidLimbaugh: Touching mini-tribute segment on Charles Krauthammer by @BretBaier &amp; @DanaPerino —   ’The World Loves Him': Bret Baier H…,73
73,0.0,2018-06-09 23:39:01,1.0,0.0,0.0,FoxNews,Get people taking to twitter about you https://t.co/vdQ0IDH0Tj #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/quLHR1Dy7U,74
74,0.34,2018-06-09 23:39:01,0.902,0.0,0.098,CBSNews,"Social Security should NOT be fixed, it should be phased out. We should be teaching our kids that they need to star… https://t.co/IY9OKAFUiq",75
75,-0.5413,2018-06-09 23:39:01,0.857,0.143,0.0,FoxNews,RT @FoxNews: .@replouiegohmert: “Robert Mueller has done more damage during his 12 years as FBI director than… probably all the directors p…,76
76,0.0,2018-06-09 23:39:01,1.0,0.0,0.0,nytimes,"@caitoz And operation Timber Sycamore. 
(Which Trump put an end to: https://t.co/4fqLRGCXld)",77
77,-0.5267,2018-06-09 23:39:00,0.72,0.191,0.089,CBSNews,"RT @CBSSunday: PREVIEW FOR SUNDAY MORNING

Suicide rates have increased more than 25% since 1999 

@mikeshinoda, co-founder of @linkinpark,…",78
78,0.0,2018-06-09 23:39:00,1.0,0.0,0.0,CNN,RT @PaulaFeese: @amber_athey @CharlesM_DC @CNN Trump scorched @CNN deservedly so,79
79,0.4215,2018-06-09 23:39:00,0.781,0.0,0.219,FoxNews,"Nice spin Fox, the Antifa stormed the Patriots Prayer Rally. https://t.co/xzGTroZ7YR",80
80,0.0,2018-06-09 23:39:00,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",81
81,-0.296,2018-06-09 23:39:00,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,82
82,0.5859,2018-06-09 23:39:00,0.826,0.0,0.174,CNN,@RacingLambos @WalshFreedom @jaketapper @CNN @PressSec I'm basing it on the fact that Russia helped him win in a nu… https://t.co/REQ2x0bVh1,83
83,-0.7854,2018-06-09 23:39:00,0.706,0.294,0.0,CNN,RT @ArthurSchwartz: Unfortunate that CNN and the rest of the fake news media in the US don’t understand this. Not surprising. https://t.co/…,84
84,-0.5207,2018-06-09 23:39:00,0.733,0.267,0.0,CNN,"RT @jaketapper: Trump criticizes Justin Trudeau, says US won't endorse G7 communique @CNNPolitics https://t.co/YGLlVV0KbA",85
85,0.6124,2018-06-09 23:39:00,0.8,0.0,0.2,CNN,"RT @RWPUSA: This president, his cabinet and the senators and representatives of both parties who supported his steel tariffs all look like…",86
86,0.25,2018-06-09 23:38:59,0.764,0.102,0.134,CNN,"RT @dbongino: This is Trump at his best bcz:
1) He drops a neutron bomb on this looney CNN reporter who asks a question in a way designed t…",87
87,0.3919,2018-06-09 23:38:59,0.863,0.0,0.137,CNN,@CNN I'm glad you all think it's fair for another country to have a large fee to sell one of our products. But in r… https://t.co/9YEhlE7xI5,88
88,0.128,2018-06-09 23:38:59,0.739,0.14,0.121,CNN,"RT @wkamaubell: No #UnitesShades tomorrow (Sunday), so that @CNN can pay respect &amp; tribute to Anthony @Bourdain. I'll be watching too. He's…",89
89,-0.5994,2018-06-09 23:38:59,0.738,0.262,0.0,CNN,Bernie Sanders says Trump is 'going to war against working people' https://t.co/CPvwQ07VyT,90
90,0.0,2018-06-09 23:38:59,1.0,0.0,0.0,CNN,@PoliticalShort @CNN is NOT #BadJournalism  @CNNPR is #Propaganda for the left. Should change their name to #Pravda,91
91,-0.5574,2018-06-09 23:38:59,0.825,0.175,0.0,FoxNews,"RT @ivanvector: PEI to ban single use plastic retail bags, require fees for paper bags https://t.co/zd8pGMmlHZ #pei #foxnews",92
92,-0.4019,2018-06-09 23:38:59,0.87,0.13,0.0,FoxNews,RT @heyitsmeCarolyn: 'Bring on the Recession': Bill Maher 'Hoping' for Economic Crash to Oust Trump 🤔 #LiberalismIsAMentalDisorder https://…,93
93,0.0,2018-06-09 23:38:59,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",94
94,0.0,2018-06-09 23:38:58,1.0,0.0,0.0,nytimes,RT @nytimestravel: 36 Hours in the Cotswolds: Its lost-in-time country hamlets make this slice of south central England one of Europe’s mos…,95
95,0.7906,2018-06-09 23:38:58,0.69,0.0,0.31,FoxNews,"RT @TT45Pac: .@VP: ""I want to begin tonight by bringing greetings from a leader who's been delivering every day on his promise to protect f…",96
96,-0.296,2018-06-09 23:38:58,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,97
97,-0.5255,2018-06-09 23:38:58,0.861,0.139,0.0,CNN,"RT @amber_athey: WATCH: President Trump nukes @CNN reporter into another dimension. 

""I figured. Fake news CNN. The worst!"" he said. ""I ha…",98
98,-0.7783,2018-06-09 23:38:58,0.746,0.254,0.0,CNN,@carolinareader @CNN Hell no. Many of us couldn't stand our previous PM and wanted to trade him for Obama. Trump is… https://t.co/aF4iBVVrFX,99
99,-0.4939,2018-06-09 23:38:58,0.735,0.173,0.092,FoxNews,RT @david_d1421: And this is what you get when liberals prohibit profiling.  Since we can’t profile what a potential terrorist looks like t…,100
100,0.3182,2018-06-09 23:38:57,0.913,0.0,0.087,FoxNews,"RT @jeepsuzih2: President Trump is the Only President in my lifetime that I've ever heard talk so much about what is fair for Americans 
Wh…",101
101,-0.2023,2018-06-09 23:38:57,0.924,0.076,0.0,nytimes,"RT @JustinWolfers: Average tariff rates charged by G-7 nations:
USA: 1.6%
EU: 1.6%
UK: 1.6%
Italy: 1.6%
Germany: 1.6%
France: 1.6%
Japan: 1…",102
102,-0.3182,2018-06-09 23:38:57,0.892,0.108,0.0,nytimes,"RT @jazzdotorg: More than 50 years after his passing, a #JohnColtrane recording—once thought to be lost forever—will finally see the light…",103
103,-0.4767,2018-06-09 23:38:57,0.866,0.134,0.0,CNN,"RT @FoxNews: President @realDonaldTrump: ""Who are you with out of curiosity?""

Reporter: ""CNN.""

@POTUS: ""I figured - Fake News CNN. The wo…",104
104,0.6515,2018-06-09 23:38:57,0.806,0.0,0.194,CNN,"If you’re able, I HIGHLY encourage you to turn into @CNN tonight to watch the @PartsUnknownCNN marathon. Anthony Bo… https://t.co/iJ6DOBZMMW",105
105,-0.8172,2018-06-09 23:38:57,0.746,0.254,0.0,FoxNews,"RT @RealJack: RETWEET if you think Fake News CNN is the worst!

After a question, President Trump asked a reporter, “Who are you with out o…",106
106,-0.8172,2018-06-09 23:38:57,0.746,0.254,0.0,CNN,"RT @RealJack: RETWEET if you think Fake News CNN is the worst!

After a question, President Trump asked a reporter, “Who are you with out o…",107
107,-0.4767,2018-06-09 23:38:57,0.846,0.154,0.0,CNN,"RT @thehill: WATCH: Trump calls CNN ""fake news"" after CNN reporter asks question at G7 briefing https://t.co/I7Hj0WF4ku https://t.co/L3aXVa…",108
108,0.0,2018-06-09 23:38:57,1.0,0.0,0.0,CNN,Donald Trump held a press conference at the G7 -- here are the 38 wildest things he said @CNNPolitics https://t.co/fPtPCT9mPw,109
109,-0.2023,2018-06-09 23:38:57,0.924,0.076,0.0,nytimes,"RT @JustinWolfers: Average tariff rates charged by G-7 nations:
USA: 1.6%
EU: 1.6%
UK: 1.6%
Italy: 1.6%
Germany: 1.6%
France: 1.6%
Japan: 1…",110
110,0.0,2018-06-09 23:38:57,1.0,0.0,0.0,nytimes,RT @howardfineman: Bill’s Belated #MeToo Moment   via @NYTimes.  Bingo.  https://t.co/D24hbrT6Y6,111
111,-0.1759,2018-06-09 23:38:57,0.825,0.175,0.0,FoxNews,@FoxNews Thats when you hit em twice as hard!,112
112,-0.4767,2018-06-09 23:38:57,0.866,0.134,0.0,FoxNews,"RT @FoxNews: President @realDonaldTrump: ""Who are you with out of curiosity?""

Reporter: ""CNN.""

@POTUS: ""I figured - Fake News CNN. The wo…",113
113,0.0,2018-06-09 23:38:57,1.0,0.0,0.0,FoxNews,I'm raising money for JD's Chauffeur service and dial a ride on @monsterenergy @google @twitter @wwe @teamsters… https://t.co/hYqYZrUKdR,114
114,-0.5216,2018-06-09 23:38:57,0.728,0.272,0.0,FoxNews,RT @LionelMedia: How can you not love this guy? https://t.co/iP9fdvALx4,115
115,0.34,2018-06-09 23:38:57,0.746,0.082,0.172,CNN,"RT @jimsciutto: And in response, Trump says he will no longer endorse G7 communique. Please explain how that is strategic rather than react…",116
116,-0.296,2018-06-09 23:38:56,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,117
117,0.0,2018-06-09 23:38:56,1.0,0.0,0.0,FoxNews,"@richardm400 @FoxNews @seanhannity We are both right about Mexico's southern border, it has a partial.",118
118,-0.3412,2018-06-09 23:38:56,0.888,0.112,0.0,CNN,RT @SafetyPinDaily: Trump aligns with Giuliani's view that being a porn star is not a respectable career choice || Via CNNPolitics https://…,119
119,0.8176,2018-06-09 23:38:56,0.706,0.0,0.294,CNN,RT @cnni: BREAKING: Justify wins the 150th running of the Belmont Stakes to win horse racing’s 13th Triple Crown https://t.co/5Hr5TjGCKF,120
120,0.0,2018-06-09 23:38:56,1.0,0.0,0.0,CNN,RT @Vallmeister: Trudeau has SNAPPED and has zero chill for Trump: https://t.co/fTziErOjlC,121
121,0.4927,2018-06-09 23:38:56,0.803,0.0,0.197,CNN,"@realDonaldTrump
This is really funny. You make yourself look so stupid...all by yourself.

https://t.co/KACLG9VGMK",122
122,0.4404,2018-06-09 23:38:56,0.861,0.0,0.139,CNN,RT @manyinkonghoeno: #BRITAIN signing a 1.7billion oil 🛢 deal with dictator Paul biya of Cameroun is supporting the #GenocideInSouthernCame…,123
123,0.0,2018-06-09 23:38:56,1.0,0.0,0.0,CNN,There's a parts unknown marathon starting on CNN I don't have the heart to watch.,124
124,-0.6597,2018-06-09 23:38:56,0.804,0.196,0.0,nytimes,"RT @TomFitton: A Girl’s Killing Shakes Germany’s Migration Debate “If he had been deported, she would still be alive” https://t.co/ToqnjIVD…",125
125,-0.1531,2018-06-09 23:38:56,0.862,0.138,0.0,nytimes,Judge Stops Deportation of a New York Pizza Delivery Man https://t.co/m4SnUQPcxU https://t.co/X7HkGg4KTx,126
126,0.7717,2018-06-09 23:38:55,0.691,0.0,0.309,nytimes,@SteveSisolak @latimesnational @nytimes @dcexaminer @MSNBC ❗️ I love hearing this guys sales pitch he sounds like a… https://t.co/wvV8BAFKvc,127
127,0.0,2018-06-09 23:38:55,1.0,0.0,0.0,CNN,RT @DailyCaller: Sarah Sanders To CNN Producer: ‘Congratulations! Once Again You Are Wrong’ https://t.co/tCCtbGZuaK https://t.co/LhGXeYc7CH,128
128,0.0,2018-06-09 23:38:55,1.0,0.0,0.0,nytimes,Rush Hour Headaches https://t.co/xwvshAcPuL https://t.co/pdO7HmHHCi,129
129,0.7964,2018-06-09 23:38:55,0.679,0.0,0.321,nytimes,"RT @sjjphd: Thanks for your love on this thread all. I put something more cohesive together here:
https://t.co/5Jg5fwZuv5",130
130,-0.7814,2018-06-09 23:38:55,0.754,0.246,0.0,CNN,"RT @RodStryker: It's so refreshing to hear @POTUS Trump blatantly blast fake news CNN everytime.

He calls out this moron &amp; reinforces our…",131
131,0.0,2018-06-09 23:38:55,1.0,0.0,0.0,nytimes,"“Africa gave us the blueprint for civilization itself, with profound refutations of the claim that Africans lacked… https://t.co/c69khLLdAo",132
132,0.0,2018-06-09 23:38:55,1.0,0.0,0.0,CBSNews,#FuckingIdiot https://t.co/EsVrk9k6k1,133
133,0.34,2018-06-09 23:38:55,0.746,0.082,0.172,CNN,"RT @jimsciutto: And in response, Trump says he will no longer endorse G7 communique. Please explain how that is strategic rather than react…",134
134,0.6705,2018-06-09 23:38:55,0.657,0.076,0.266,CNN,"RT @CNN: There was nobody like Anthony Bourdain, and there was no show like #PartsUnknown. CNN pays tribute with a special night of episode…",135
135,-0.7814,2018-06-09 23:38:55,0.754,0.246,0.0,FoxNews,"RT @RodStryker: It's so refreshing to hear @POTUS Trump blatantly blast fake news CNN everytime.

He calls out this moron &amp; reinforces our…",136
136,-0.7003,2018-06-09 23:38:54,0.775,0.225,0.0,CNN,RT @CNN: A manager at a South Carolina restaurant has pleaded guilty to physically abusing a black employee and forcing him to work over 10…,137
137,-0.5994,2018-06-09 23:38:54,0.803,0.197,0.0,FoxNews,"RT @RealJamesWoods: Its ALWAYS some snake oil, slime ball, back door, stealth shit with the Clintons. Can these people even breathe without…",138
138,0.0,2018-06-09 23:38:54,1.0,0.0,0.0,FoxNews,RT @Oraculo7777: @CNN @FoxNews https://t.co/1g7EjaRJsL,139
139,0.3612,2018-06-09 23:38:54,0.894,0.0,0.106,FoxNews,RT @AltUSPressSec: @FoxNews @replouiegohmert This is a blatant lie. This is rewriting history. He was applauded on both sides as one of the…,140
140,-0.4184,2018-06-09 23:38:54,0.59,0.41,0.0,FoxNews,@FoxNews Then stop Trump !!,141
141,0.0,2018-06-09 23:38:54,1.0,0.0,0.0,CNN,RT @Oraculo7777: @CNN @FoxNews https://t.co/1g7EjaRJsL,142
142,0.0,2018-06-09 23:38:54,1.0,0.0,0.0,nytimes,Debacle in Quebec https://t.co/YH2t9b2R7Y https://t.co/APpilMFOFv,143
143,-0.9439,2018-06-09 23:38:54,0.466,0.534,0.0,nytimes,"RT @paulkrugman: Really, really bad. Trump is throwing a temper tantrum, threatening dire retaliation against our allies for high  tariffs…",144
144,0.0,2018-06-09 23:38:54,1.0,0.0,0.0,nytimes,"RT @jessphoenix2018: Science has been removed from the conversation. When you're living in the 21st century, #science literacy (or at least…",145
